species,year,doy,source
syringa vulgaris,1966,96,us_phen
syringa vulgaris,1967,133,us_phen
syringa vulgaris,1968,92,us_phen
syringa vulgaris,1969,112,us_phen
syringa vulgaris,1970,90,us_phen
syringa vulgaris,1971,95,us_phen
syringa vulgaris,1972,83,us_phen
syringa vulgaris,1967,114,us_phen
syringa vulgaris,1968,73,us_phen
syringa vulgaris,1969,98,us_phen
syringa vulgaris,1970,84,us_phen
syringa vulgaris,1971,88,us_phen
syringa vulgaris,1972,84,us_phen
syringa vulgaris,1973,76,us_phen
syringa vulgaris,1974,84,us_phen
syringa vulgaris,1975,91,us_phen
syringa vulgaris,1976,94,us_phen
syringa vulgaris,1977,93,us_phen
syringa vulgaris,1978,71,us_phen
syringa vulgaris,1979,84,us_phen
syringa vulgaris,1980,84,us_phen
syringa vulgaris,1981,56,us_phen
syringa vulgaris,1957,137,us_phen
syringa vulgaris,1958,134,us_phen
syringa vulgaris,1959,128,us_phen
syringa vulgaris,1960,137,us_phen
syringa vulgaris,1961,142,us_phen
syringa vulgaris,1962,125,us_phen
syringa vulgaris,1963,139,us_phen
syringa vulgaris,1964,144,us_phen
syringa vulgaris,1965,127,us_phen
syringa vulgaris,1966,122,us_phen
syringa vulgaris,1967,141,us_phen
syringa vulgaris,1968,138,us_phen
syringa vulgaris,1969,132,us_phen
syringa vulgaris,1970,138,us_phen
syringa vulgaris,1971,139,us_phen
syringa vulgaris,1972,144,us_phen
syringa vulgaris,1973,129,us_phen
syringa vulgaris,1974,129,us_phen
syringa vulgaris,1975,140,us_phen
syringa vulgaris,1976,132,us_phen
syringa vulgaris,1957,106,us_phen
syringa vulgaris,1958,110,us_phen
syringa vulgaris,1959,100,us_phen
syringa vulgaris,1960,94,us_phen
syringa vulgaris,1961,105,us_phen
syringa vulgaris,1962,105,us_phen
syringa vulgaris,1963,118,us_phen
syringa vulgaris,1964,104,us_phen
syringa vulgaris,1965,110,us_phen
syringa vulgaris,1966,92,us_phen
syringa vulgaris,1968,102,us_phen
syringa vulgaris,1969,111,us_phen
syringa vulgaris,1970,100,us_phen
syringa vulgaris,1957,104,us_phen
syringa vulgaris,1958,107,us_phen
syringa vulgaris,1959,96,us_phen
syringa vulgaris,1960,94,us_phen
syringa vulgaris,1961,95,us_phen
syringa vulgaris,1962,99,us_phen
syringa vulgaris,1963,114,us_phen
syringa vulgaris,1964,106,us_phen
syringa vulgaris,1965,89,us_phen
syringa vulgaris,1966,95,us_phen
syringa vulgaris,1967,117,us_phen
syringa vulgaris,1968,86,us_phen
syringa vulgaris,1969,110,us_phen
syringa vulgaris,1970,92,us_phen
syringa vulgaris,1971,95,us_phen
syringa vulgaris,1967,128,us_phen
syringa vulgaris,1971,91,us_phen
syringa vulgaris,1973,100,us_phen
syringa vulgaris,1975,110,us_phen
syringa vulgaris,1977,104,us_phen
syringa vulgaris,1978,99,us_phen
syringa vulgaris,1979,108,us_phen
syringa vulgaris,1980,118,us_phen
syringa vulgaris,1981,111,us_phen
syringa vulgaris,1957,117,us_phen
syringa vulgaris,1958,117,us_phen
syringa vulgaris,1959,99,us_phen
syringa vulgaris,1960,100,us_phen
syringa vulgaris,1961,99,us_phen
syringa vulgaris,1963,125,us_phen
syringa vulgaris,1964,104,us_phen
syringa vulgaris,1965,85,us_phen
syringa vulgaris,1966,90,us_phen
syringa vulgaris,1967,134,us_phen
syringa vulgaris,1967,112,us_phen
syringa vulgaris,1968,69,us_phen
syringa vulgaris,1969,103,us_phen
syringa vulgaris,1970,88,us_phen
syringa vulgaris,1972,66,us_phen
syringa vulgaris,1973,94,us_phen
syringa vulgaris,1957,117,us_phen
syringa vulgaris,1967,63,us_phen
syringa vulgaris,1968,98,us_phen
syringa vulgaris,1969,107,us_phen
syringa vulgaris,1970,128,us_phen
syringa vulgaris,1971,92,us_phen
syringa vulgaris,1972,78,us_phen
syringa vulgaris,1973,74,us_phen
syringa vulgaris,1974,103,us_phen
syringa vulgaris,1976,123,us_phen
syringa vulgaris,1977,118,us_phen
syringa vulgaris,1979,111,us_phen
syringa vulgaris,1981,118,us_phen
syringa vulgaris,1982,110,us_phen
syringa vulgaris,1983,106,us_phen
syringa vulgaris,1984,78,us_phen
syringa vulgaris,1985,95,us_phen
syringa vulgaris,1986,63,us_phen
syringa vulgaris,1988,90,us_phen
syringa vulgaris,1990,102,us_phen
syringa vulgaris,1991,119,us_phen
syringa vulgaris,1957,112,us_phen
syringa vulgaris,1958,115,us_phen
syringa vulgaris,1959,93,us_phen
syringa vulgaris,1960,100,us_phen
syringa vulgaris,1961,94,us_phen
syringa vulgaris,1962,98,us_phen
syringa vulgaris,1963,127,us_phen
syringa vulgaris,1964,103,us_phen
syringa vulgaris,1965,74,us_phen
syringa vulgaris,1966,95,us_phen
syringa vulgaris,1967,135,us_phen
syringa vulgaris,1968,95,us_phen
syringa vulgaris,1969,110,us_phen
syringa vulgaris,1970,87,us_phen
syringa vulgaris,1971,94,us_phen
syringa vulgaris,1972,75,us_phen
syringa vulgaris,1973,112,us_phen
syringa vulgaris,1974,105,us_phen
syringa vulgaris,1976,110,us_phen
syringa vulgaris,1977,102,us_phen
syringa vulgaris,1978,89,us_phen
syringa vulgaris,1979,105,us_phen
syringa vulgaris,1980,106,us_phen
syringa vulgaris,1981,112,us_phen
syringa vulgaris,1982,114,us_phen
syringa vulgaris,1983,111,us_phen
syringa vulgaris,1984,69,us_phen
syringa vulgaris,1985,91,us_phen
syringa vulgaris,1957,116,us_phen
syringa vulgaris,1958,118,us_phen
syringa vulgaris,1959,101,us_phen
syringa vulgaris,1960,98,us_phen
syringa vulgaris,1961,100,us_phen
syringa vulgaris,1962,100,us_phen
syringa vulgaris,1963,133,us_phen
syringa vulgaris,1964,117,us_phen
syringa vulgaris,1965,110,us_phen
syringa vulgaris,1966,99,us_phen
syringa vulgaris,1957,117,us_phen
syringa vulgaris,1958,122,us_phen
syringa vulgaris,1959,99,us_phen
syringa vulgaris,1961,114,us_phen
syringa vulgaris,1965,115,us_phen
syringa vulgaris,1966,98,us_phen
syringa vulgaris,1968,100,us_phen
syringa vulgaris,1969,111,us_phen
syringa vulgaris,1970,114,us_phen
syringa vulgaris,1972,93,us_phen
syringa vulgaris,1973,118,us_phen
syringa vulgaris,1975,132,us_phen
syringa vulgaris,1957,79,us_phen
syringa vulgaris,1958,106,us_phen
syringa vulgaris,1959,86,us_phen
syringa vulgaris,1960,85,us_phen
syringa vulgaris,1961,87,us_phen
syringa vulgaris,1962,96,us_phen
syringa vulgaris,1963,94,us_phen
syringa vulgaris,1964,103,us_phen
syringa vulgaris,1965,107,us_phen
syringa vulgaris,1966,91,us_phen
syringa vulgaris,1967,88,us_phen
syringa vulgaris,1968,90,us_phen
syringa vulgaris,1969,95,us_phen
syringa vulgaris,1970,91,us_phen
syringa vulgaris,1957,105,us_phen
syringa vulgaris,1958,108,us_phen
syringa vulgaris,1960,92,us_phen
syringa vulgaris,1961,100,us_phen
syringa vulgaris,1962,107,us_phen
syringa vulgaris,1963,113,us_phen
syringa vulgaris,1964,108,us_phen
syringa vulgaris,1965,107,us_phen
syringa vulgaris,1967,125,us_phen
syringa vulgaris,1969,110,us_phen
syringa vulgaris,1971,115,us_phen
syringa vulgaris,1973,99,us_phen
syringa vulgaris,1974,105,us_phen
syringa vulgaris,1975,100,us_phen
syringa vulgaris,1980,102,us_phen
syringa vulgaris,1981,93,us_phen
syringa vulgaris,1982,113,us_phen
syringa vulgaris,1983,109,us_phen
syringa vulgaris,1984,99,us_phen
syringa vulgaris,1985,91,us_phen
syringa vulgaris,1957,119,us_phen
syringa vulgaris,1958,121,us_phen
syringa vulgaris,1959,107,us_phen
syringa vulgaris,1960,123,us_phen
syringa vulgaris,1961,105,us_phen
syringa vulgaris,1962,107,us_phen
syringa vulgaris,1963,135,us_phen
syringa vulgaris,1964,116,us_phen
syringa vulgaris,1965,115,us_phen
syringa vulgaris,1966,106,us_phen
syringa vulgaris,1967,135,us_phen
syringa vulgaris,1968,104,us_phen
syringa vulgaris,1969,118,us_phen
syringa vulgaris,1970,123,us_phen
syringa vulgaris,1971,117,us_phen
syringa vulgaris,1972,114,us_phen
syringa vulgaris,1973,116,us_phen
syringa vulgaris,1975,132,us_phen
syringa vulgaris,1967,73,us_phen
syringa vulgaris,1968,71,us_phen
syringa vulgaris,1969,85,us_phen
syringa vulgaris,1972,75,us_phen
syringa vulgaris,1974,83,us_phen
syringa vulgaris,1967,140,us_phen
syringa vulgaris,1968,121,us_phen
syringa vulgaris,1969,126,us_phen
syringa vulgaris,1970,134,us_phen
syringa vulgaris,1971,135,us_phen
syringa vulgaris,1972,124,us_phen
syringa vulgaris,1974,127,us_phen
syringa vulgaris,1977,126,us_phen
syringa vulgaris,1957,119,us_phen
syringa vulgaris,1958,128,us_phen
syringa vulgaris,1959,113,us_phen
syringa vulgaris,1960,128,us_phen
syringa vulgaris,1961,122,us_phen
syringa vulgaris,1962,140,us_phen
