"","species","doy","year","source","photoperiod_sensitive"
"322","Plantago_lanceolata",126.6530055,1964,"uknc",TRUE
"323","Trifolium_pratense",138.6202186,1964,"uknc",TRUE
"324","Poa_trivialis",148.5928962,1964,"uknc",FALSE
"325","Festuca_pratensis",134.6311475,1964,"uknc",FALSE
"326","Deschampsia_cespitosa",165.5464481,1964,"uknc",TRUE
"327","Viola_odorata",89.75409836,1964,"uknc",TRUE
"328","Festuca_rubra",130.6420765,1964,"uknc",FALSE
"329","Festuca_arundinacea",137.6229508,1964,"uknc",TRUE
"330","Ribes_nigrum",117.6775956,1964,"uknc",TRUE
"331","Digitalis_purpurea",180,1965,"uknc",TRUE
"332","Syringa_vulgaris",141,1965,"uknc",FALSE
"333","Alopecurus_pratensis",114,1965,"uknc",TRUE
"334","Ilex_aquifolium",141,1965,"uknc",FALSE
"335","Cichorium_intybus",200,1965,"uknc",TRUE
"336","Phleum_pratense",184,1965,"uknc",TRUE
"337","Geum_urbanum",144,1965,"uknc",FALSE
"338","Lunaria_annua",116,1965,"uknc",TRUE
"339","Trifolium_repens",146,1965,"uknc",TRUE
"340","Ulmus_glabra",86,1965,"uknc",TRUE
"341","Anagallis_arvensis",164,1965,"uknc",TRUE
"342","Solidago_canadensis",215,1965,"uknc",TRUE
"343","Silene_latifolia",136,1965,"uknc",TRUE
"344","Poa_pratensis",114,1965,"uknc",TRUE
"345","Chenopodium_album",198,1965,"uknc",TRUE
"346","Lactuca_serriola",211,1965,"uknc",TRUE
"347","Silene_dioica",114,1965,"uknc",FALSE
"348","Sinapis_alba",136,1965,"uknc",TRUE
"349","Arctium_lappa",227,1965,"uknc",TRUE
"350","Arrhenatherum_elatius",143,1965,"uknc",FALSE
"351","Calluna_vulgaris",203,1965,"uknc",TRUE
"352","Avena_sativa",190,1965,"uknc",TRUE
"353","Antirrhinum_majus",157,1965,"uknc",TRUE
"354","Cynosurus_cristatus",150,1965,"uknc",FALSE
"355","Briza_media",143,1965,"uknc",FALSE
"356","Plantago_lanceolata",114,1965,"uknc",TRUE
"357","Trifolium_pratense",118,1965,"uknc",TRUE
"358","Deschampsia_flexuosa",142,1965,"uknc",TRUE
"359","Rubus_idaeus",155,1965,"uknc",TRUE
"360","Poa_nemoralis",136,1965,"uknc",FALSE
"361","Poa_trivialis",140,1965,"uknc",FALSE
"362","Viola_odorata",85,1965,"uknc",TRUE
"363","Papaver_somniferum",200,1965,"uknc",TRUE
"364","Cichorium_intybus",218,1966,"uknc",TRUE
"365","Alopecurus_pratensis",113,1966,"uknc",TRUE
"366","Ilex_aquifolium",137,1966,"uknc",FALSE
"367","Phleum_pratense",167,1966,"uknc",TRUE
"368","Geum_urbanum",149,1966,"uknc",FALSE
"369","Lunaria_annua",85,1966,"uknc",TRUE
"370","Trifolium_repens",140,1966,"uknc",TRUE
"371","Digitalis_purpurea",161,1966,"uknc",TRUE
"372","Ulmus_glabra",82,1966,"uknc",TRUE
"373","Scrophularia_vernalis",98,1966,"uknc",FALSE
"374","Anagallis_arvensis",158,1966,"uknc",TRUE
"375","Pastinaca_sativa",160,1966,"uknc",FALSE
"376","Solidago_canadensis",192,1966,"uknc",TRUE
"377","Poa_pratensis",107,1966,"uknc",TRUE
"378","Lactuca_serriola",219,1966,"uknc",TRUE
"379","Sonchus_oleraceus",164,1966,"uknc",TRUE
"380","Sinapis_alba",148,1966,"uknc",TRUE
"381","Arctium_lappa",228,1966,"uknc",TRUE
"382","Arrhenatherum_elatius",152,1966,"uknc",FALSE
"383","Calluna_vulgaris",193,1966,"uknc",TRUE
"384","Antirrhinum_majus",158,1966,"uknc",TRUE
"385","Cynosurus_cristatus",154,1966,"uknc",FALSE
"386","Briza_media",143,1966,"uknc",FALSE
"387","Trifolium_pratense",136,1966,"uknc",TRUE
"388","Deschampsia_flexuosa",139,1966,"uknc",TRUE
"389","Myosotis_scorpioides",165,1966,"uknc",FALSE
"390","Rubus_idaeus",161,1966,"uknc",TRUE
"391","Poa_nemoralis",135,1966,"uknc",FALSE
"392","Poa_trivialis",140,1966,"uknc",FALSE
"393","Deschampsia_cespitosa",164,1966,"uknc",TRUE
"394","Viola_odorata",66,1966,"uknc",TRUE
"395","Festuca_rubra",135,1966,"uknc",FALSE
"396","Festuca_arundinacea",135,1966,"uknc",TRUE
"397","Papaver_somniferum",191,1966,"uknc",TRUE
"398","Ribes_nigrum",130,1966,"uknc",TRUE
