"species","doy","year","source"
"Alopecurus_pratensis",114,1965,"uknc"
"Ilex_aquifolium",141,1965,"uknc"
"Cichorium_intybus",200,1965,"uknc"
"Phleum_pratense",184,1965,"uknc"
"Geum_urbanum",144,1965,"uknc"
"Lunaria_annua",116,1965,"uknc"
"Trifolium_repens",146,1965,"uknc"
"Ulmus_glabra",86,1965,"uknc"
"Anagallis_arvensis",164,1965,"uknc"
"Solidago_canadensis",215,1965,"uknc"
"Silene_latifolia",136,1965,"uknc"
"Poa_pratensis",114,1965,"uknc"
"Chenopodium_album",198,1965,"uknc"
"Lactuca_serriola",211,1965,"uknc"
"Silene_dioica",114,1965,"uknc"
"Sinapis_alba",136,1965,"uknc"
"Arctium_lappa",227,1965,"uknc"
"Arrhenatherum_elatius",143,1965,"uknc"
"Calluna_vulgaris",203,1965,"uknc"
"Avena_sativa",190,1965,"uknc"
"Antirrhinum_majus",157,1965,"uknc"
"Cynosurus_cristatus",150,1965,"uknc"
"Briza_media",143,1965,"uknc"
"Plantago_lanceolata",114,1965,"uknc"
"Trifolium_pratense",118,1965,"uknc"
"Deschampsia_flexuosa",142,1965,"uknc"
"Rubus_idaeus",155,1965,"uknc"
"Poa_nemoralis",136,1965,"uknc"
"Poa_trivialis",140,1965,"uknc"
"Viola_odorata",85,1965,"uknc"
"Papaver_somniferum",200,1965,"uknc"
"Cichorium_intybus",218,1966,"uknc"
"Alopecurus_pratensis",113,1966,"uknc"
"Ilex_aquifolium",137,1966,"uknc"
"Phleum_pratense",167,1966,"uknc"
"Geum_urbanum",149,1966,"uknc"
"Lunaria_annua",85,1966,"uknc"
"Trifolium_repens",140,1966,"uknc"
"Digitalis_purpurea",161,1966,"uknc"
"Ulmus_glabra",82,1966,"uknc"
"Scrophularia_vernalis",98,1966,"uknc"
"Anagallis_arvensis",158,1966,"uknc"
"Pastinaca_sativa",160,1966,"uknc"
"Solidago_canadensis",192,1966,"uknc"
"Poa_pratensis",107,1966,"uknc"
"Lactuca_serriola",219,1966,"uknc"
"Sonchus_oleraceus",164,1966,"uknc"
"Sinapis_alba",148,1966,"uknc"
"Arctium_lappa",228,1966,"uknc"
"Arrhenatherum_elatius",152,1966,"uknc"
"Calluna_vulgaris",193,1966,"uknc"
"Antirrhinum_majus",158,1966,"uknc"
"Cynosurus_cristatus",154,1966,"uknc"
"Briza_media",143,1966,"uknc"
"Trifolium_pratense",136,1966,"uknc"
"Deschampsia_flexuosa",139,1966,"uknc"
"Myosotis_scorpioides",165,1966,"uknc"
"Rubus_idaeus",161,1966,"uknc"
"Poa_nemoralis",135,1966,"uknc"
"Poa_trivialis",140,1966,"uknc"
"Deschampsia_cespitosa",164,1966,"uknc"
"Viola_odorata",66,1966,"uknc"
"Festuca_rubra",135,1966,"uknc"
"Festuca_arundinacea",135,1966,"uknc"
"Papaver_somniferum",191,1966,"uknc"
"Ribes_nigrum",130,1966,"uknc"
"Rumex_acetosella",128,1967,"uknc"
"Rubus_idaeus",162,1967,"uknc"
"Alopecurus_pratensis",101,1967,"uknc"
"Ilex_aquifolium",135,1967,"uknc"
"Cichorium_intybus",203,1967,"uknc"
"Geum_urbanum",145,1967,"uknc"
"Lunaria_annua",105,1967,"uknc"
"Trifolium_repens",119,1967,"uknc"
"Brachypodium_pinnatum",165,1967,"uknc"
"Digitalis_purpurea",159,1967,"uknc"
"Ulmus_glabra",54,1967,"uknc"
"Anagallis_arvensis",168,1967,"uknc"
"Silene_latifolia",138,1967,"uknc"
"Solidago_canadensis",206,1967,"uknc"
"Chenopodium_album",197,1967,"uknc"
"Lactuca_serriola",217,1967,"uknc"
"Silene_dioica",127,1967,"uknc"
"Arctium_lappa",203,1967,"uknc"
"Sonchus_oleraceus",137,1967,"uknc"
